旧绝对路径,新绝对路径,归类理由,日期依据,提交依据,内容是否改变,处理状态
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/h1-cases/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/07_H1专项输入_h1_cases/,H1 专项输入（9 例 + boundary 6 例 + 生成器）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/h1-results/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/08_H1专项结果_h1_results/,H1 专项结果（55 项 + 报告）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/performance/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/09_时间内存与资源_performance/,性能与资源（42 组 + 报告）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/scale-mixed_1000/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/10_千节点压力验证_scale/mixed_1000/,千节点压力（mixed）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/scale-pattern_a_1000/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/10_千节点压力验证_scale/pattern_a_1000/,千节点压力（pattern_a）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/scale-negative_1000/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/10_千节点压力验证_scale/negative_1000/,千节点压力（negative）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/selfcheck/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/11_验证工具自检_selfcheck/01_首次自检_initial/,验证工具自检（首次）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/selfcheck-final/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/11_验证工具自检_selfcheck/02_最终复核_final/,验证工具自检（最终复核）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/smoke-P-baseline/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/12_初步运行检查_smoke/P-baseline/,初步运行检查（P-baseline）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/smoke-P-h1/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/12_初步运行检查_smoke/P-h1/,初步运行检查（P-h1）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/nodes-test3/,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/13_节点统计演示_nodes_test3/,节点统计演示（test3）,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/verdict.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/00_本轮验证结论.md,轮次最终验收记录,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/summary.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/公开资源阶段汇总.md,01 阶段汇总（当时状态的阶段记录）,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/DELIVERABLES.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/交付内容说明.md,交付物筛选清单,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/formal-public/FORMAL_REPORT.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/06_公开功能验证_formal_public/公开功能验证报告.md,02 Formal 执行报告,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/formal-public/formal_summary.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/06_公开功能验证_formal_public/公开功能验证汇总.md,02 Formal 汇总（脚本输出改名）,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/h1-cases/boundary/README.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/07_H1专项输入_h1_cases/boundary/边界用例说明.md,边界用例说明,2026-09-20,0c0ee40,不变（仅改名）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/h1-results/REPORT.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/08_H1专项结果_h1_results/H1专项验证报告.md,03 H1 专项执行报告,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/h1-results/DEVELOPER_REFERENCE.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/08_H1专项结果_h1_results/开发侧参考结果.md,开发侧参考结果,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/performance/REPORT.md,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/09_时间内存与资源_performance/性能与资源报告.md,04 性能与资源执行报告,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/env.sh,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/env.sh,运行入口适配：TASK_RUN 指向新目录,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/run_flow.sh,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/run_flow.sh,运行入口适配：插件路径 → 03_编译插件_plugin,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/make_summary.py,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/make_summary.py,运行入口适配：读取路径与输出报告名,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/make_formal_summary.py,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/make_formal_summary.py,运行入口适配：读取路径与输出报告名,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/summarize_performance.py,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/summarize_performance.py,运行入口适配：读取路径,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/selfcheck/run.sh,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/selfcheck/run.sh,运行入口适配：env.sh 相对层级与新目录路径,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/selfcheck-final/run.sh,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/selfcheck-final/run.sh,运行入口适配：env.sh 相对层级与新目录路径,2026-09-20,0c0ee40,引用修正（路径）,已完成
/home/fpga/fpga/pmux-validation/h1-0c0ee40-NWBcQme2/01_本轮目录说明.md（新增）,/home/fpga/fpga/pmux-opt/results/03_独立验证_independent_validation/2026-09-20_H1_0c0ee40_第01轮/01_本轮目录说明.md,新增本轮中文目录说明与查看路线,2026-09-20,0c0ee40,新增文件,已新增
